Order Date,Region,Category,Sub-Category,Customer Name,Sales,Profit,Discount,YearMonth,Profit Margin
2016-11-08,South,Furniture,Bookcases,Claire Gute,261.96,41.9136,0.0,2016-11,0.16000000000000003
2016-11-08,South,Furniture,Chairs,Claire Gute,731.94,219.582,0.0,2016-11,0.3
2016-06-12,West,Office Supplies,Labels,Darrin Van Huff,14.62,6.8714,0.0,2016-06,0.47000000000000003
2015-10-11,South,Furniture,Tables,Sean O'Donnell,957.5775,-383.031,0.45,2015-10,-0.4
2015-10-11,South,Office Supplies,Storage,Sean O'Donnell,22.368,2.5164,0.2,2015-10,0.1125
2014-06-09,West,Furniture,Furnishings,Brosina Hoffman,48.86,14.1694,0.0,2014-06,0.29
2014-06-09,West,Office Supplies,Art,Brosina Hoffman,7.28,1.9656,0.0,2014-06,0.27
2014-06-09,West,Technology,Phones,Brosina Hoffman,907.152,90.7152,0.2,2014-06,0.09999999999999999
2014-06-09,West,Office Supplies,Binders,Brosina Hoffman,18.504,5.7825,0.2,2014-06,0.31249999999999994
2014-06-09,West,Office Supplies,Appliances,Brosina Hoffman,114.9,34.47,0.0,2014-06,0.3
2014-06-09,West,Furniture,Tables,Brosina Hoffman,1706.184,85.3092,0.2,2014-06,0.05
2014-06-09,West,Technology,Phones,Brosina Hoffman,911.424,68.3568,0.2,2014-06,0.07500000000000001
2017-04-15,South,Office Supplies,Paper,Andrew Allen,15.552,5.4432,0.2,2017-04,0.35000000000000003
2016-12-05,West,Office Supplies,Binders,Irene Maddox,407.976,132.5922,0.2,2016-12,0.32499999999999996
2015-11-22,Central,Office Supplies,Appliances,Harold Pawlan,68.81,-123.858,0.8,2015-11,-1.8
2015-11-22,Central,Office Supplies,Binders,Harold Pawlan,2.544,-3.816,0.8,2015-11,-1.5
2014-11-11,Central,Office Supplies,Storage,Pete Kriz,665.88,13.3176,0.0,2014-11,0.02
2014-05-13,West,Office Supplies,Storage,Alejandro Grove,55.5,9.99,0.0,2014-05,0.18
2014-08-27,West,Office Supplies,Art,Zuschuss Donatelli,8.56,2.4824,0.0,2014-08,0.29
2014-08-27,West,Technology,Phones,Zuschuss Donatelli,213.48,16.011,0.2,2014-08,0.075
2014-08-27,West,Office Supplies,Binders,Zuschuss Donatelli,22.72,7.384,0.2,2014-08,0.325
2016-12-09,Central,Office Supplies,Art,Ken Black,19.46,5.0596,0.0,2016-12,0.25999999999999995
2016-12-09,Central,Office Supplies,Appliances,Ken Black,60.34,15.6884,0.0,2016-12,0.25999999999999995
2017-07-16,East,Furniture,Chairs,Sandra Flanagan,71.372,-1.0196,0.3,2017-07,-0.014285714285714287
